feature,importance
log1p_cogs_ma_7d,0.031607065349817276
log1p_promo_margin_pressure,0.028464438393712044
log1p_revenue_per_session_lag_28d,0.0277890395373106
doy_cos,0.027293818071484566
log1p_revenue_shock_7d,0.026314876973628998
doy_sin,0.026077063754200935
promo_margin_pressure,0.026070090010762215
revenue_shock_7d,0.024536799639463425
wday_6,0.024415958672761917
cogs_shock_7d,0.024071624502539635
base_share_in_week,0.023343926295638084
lag7_vs_base,0.02254241146147251
dom_cos,0.02233903855085373
log1p_cogs_lag_28d,0.021884094923734665
log_lv2_base,0.021727964282035828
log1p_cogs_shock_7d,0.021181635558605194
wday_1,0.020579669624567032
log1p_cogs_ma_28d,0.018695004284381866
dom_sin,0.018640195950865746
wday_7,0.017727002501487732
log_lv3_multiplier_base,0.017686089500784874
is_payday_window,0.0175781212747097
base_vs_week_mean,0.017108777537941933
recovery_gap,0.017043018713593483
revenue_per_session_lag_28d,0.016852732747793198
log1p_revenue_ma_7d,0.016454361379146576
month_3,0.016369309276342392
is_year_end_window,0.016358600929379463
cogs_lag_14d,0.015519625507295132
cogs_lag_7d,0.01511478517204523
revenue_ma_28d,0.015079490840435028
month_2,0.014572761952877045
log1p_streetwear_concentration_risk,0.01451045647263527
cogs_lag_28d,0.013803745619952679
avg_promo_discount_value,0.01346128061413765
revenue_lag_28d,0.013194618746638298
cogs_ma_7d,0.013129699043929577
revenue_lag_7d,0.013101136311888695
log1p_revenue_lag_14d,0.012825964950025082
log1p_cogs_lag_7d,0.012579810805618763
wday_5,0.01256711408495903
log1p_cogs_lag_14d,0.012252124026417732
orders_per_session_lag_14d,0.012241627089679241
log1p_revenue_lag_28d,0.01213010586798191
log1p_revenue_ma_28d,0.01188591867685318
revenue_lag_14d,0.011716037057340145
cogs_ma_28d,0.011612574569880962
promo_seg_code,0.011536969803273678
funnel_efficiency_lag_28d,0.011381168849766254
promo_impact_score,0.011341375298798084
revenue_ma_7d,0.011222927831113338
log1p_funnel_efficiency_lag_28d,0.011201650835573673
log1p_revenue_lag_7d,0.010434026829898357
wday_3,0.010407739318907261
base_vs_precovid_baseline,0.009713063947856426
log1p_orders_per_session_lag_14d,0.009532935917377472
month_12,0.009056800045073032
base_rank_in_week,0.008938377723097801
streetwear_concentration_risk,0.008264493197202682
event_intensity,0.007547053042799234
log1p_promo_seg_code,0.00736981350928545
wday_4,0.0
pre_covid,0.0
bias,0.0
wday_2,0.0
month_10,0.0
lv3_multiplier_base_ratio,0.0
lv3_uses_weekly_avg_event_base,0.0
month_1,0.0
month_4,0.0
month_5,0.0
month_6,0.0
is_hung_kings_day,0.0
is_tet_window,0.0
is_month_end,0.0
is_month_start,0.0
is_holiday,0.0
month_9,0.0
month_8,0.0
month_11,0.0
month_7,0.0
log1p_promo_type_fixed,0.0
promo_type_fixed,0.0
promo_discount_value,0.0
log1p_avg_promo_discount_value,0.0
log1p_promo_flag,0.0
log1p_stackable_promo_count,0.0
stackable_promo_count,0.0
is_lunar_holiday,0.0
is_double_day_sale,0.0
is_1111_1212,0.0
log1p_promo_discount_value,0.0
promo_projected_flag,0.0
log1p_promo_impact_score,0.0
log1p_promo_projected_flag,0.0
is_black_friday_window,0.0
log1p_active_promo_count,0.0
active_promo_count,0.0
is_new_year_window,0.0
promo_flag,0.0
log1p_is_operational_crisis,0.0
is_operational_crisis,0.0
log1p_internal_stress_regime,0.0
internal_stress_regime,0.0
