feature,importance
revenue_shock_7d,0.03192015364766121
promo_margin_pressure,0.03152978792786598
log1p_promo_margin_pressure,0.030910992994904518
cogs_shock_7d,0.029976405203342438
promo_discount_value,0.02758721075952053
doy_sin,0.02753532864153385
doy_cos,0.026659958064556122
log1p_revenue_shock_7d,0.026148833334445953
wday_7,0.02469024993479252
lag7_vs_base,0.024517210200428963
is_payday_window,0.023704657331109047
log1p_cogs_ma_28d,0.02341085858643055
base_share_in_week,0.02286377176642418
dom_cos,0.022749485448002815
log1p_cogs_shock_7d,0.02244306169450283
log_lv2_base,0.0223271194845438
log1p_cogs_ma_7d,0.022183628752827644
log1p_streetwear_concentration_risk,0.021428490057587624
dom_sin,0.019348062574863434
month_3,0.0188329815864563
wday_6,0.018737321719527245
log1p_revenue_ma_7d,0.0186686422675848
revenue_per_session_lag_28d,0.01736711710691452
cogs_ma_7d,0.017079731449484825
wday_1,0.01704099029302597
revenue_lag_7d,0.016391124576330185
base_vs_week_mean,0.01637386903166771
log1p_active_promo_count,0.015692533925175667
wday_3,0.015482480637729168
recovery_gap,0.015053736045956612
log1p_revenue_per_session_lag_28d,0.014563269913196564
month_2,0.014437208883464336
orders_per_session_lag_14d,0.014285897836089134
log1p_cogs_lag_14d,0.014113354496657848
promo_seg_code,0.013872511684894562
cogs_lag_28d,0.013741248287260532
cogs_lag_14d,0.013717803172767162
revenue_ma_7d,0.013253409415483475
streetwear_concentration_risk,0.01310480386018753
cogs_ma_28d,0.012483621947467327
log1p_orders_per_session_lag_14d,0.012474657036364079
log_lv3_multiplier_base,0.012418296188116074
is_year_end_window,0.012339827604591846
revenue_lag_28d,0.012303206138312817
cogs_lag_7d,0.0122919250279665
log1p_cogs_lag_7d,0.011700108647346497
funnel_efficiency_lag_28d,0.011605258099734783
base_rank_in_week,0.011358857154846191
log1p_revenue_ma_28d,0.010860900394618511
log1p_revenue_lag_14d,0.010831163264811039
log1p_cogs_lag_28d,0.010492506437003613
log1p_revenue_lag_28d,0.01011497713625431
wday_5,0.009752141311764717
log1p_revenue_lag_7d,0.009597484953701496
revenue_lag_14d,0.009488148614764214
base_vs_precovid_baseline,0.00923682190477848
revenue_ma_28d,0.009009373374283314
log1p_funnel_efficiency_lag_28d,0.00789536815136671
wday_2,0.0
bias,0.0
pre_covid,0.0
lv3_multiplier_base_ratio,0.0
wday_4,0.0
month_11,0.0
month_8,0.0
month_7,0.0
month_10,0.0
lv3_uses_weekly_avg_event_base,0.0
month_1,0.0
month_4,0.0
month_5,0.0
month_6,0.0
is_hung_kings_day,0.0
is_tet_window,0.0
is_month_end,0.0
is_month_start,0.0
is_holiday,0.0
month_9,0.0
month_12,0.0
log1p_promo_type_fixed,0.0
promo_impact_score,0.0
log1p_promo_discount_value,0.0
promo_type_fixed,0.0
log1p_promo_flag,0.0
log1p_avg_promo_discount_value,0.0
stackable_promo_count,0.0
log1p_stackable_promo_count,0.0
log1p_promo_seg_code,0.0
is_lunar_holiday,0.0
is_new_year_window,0.0
is_double_day_sale,0.0
is_1111_1212,0.0
promo_projected_flag,0.0
log1p_promo_impact_score,0.0
log1p_promo_projected_flag,0.0
is_black_friday_window,0.0
active_promo_count,0.0
promo_flag,0.0
avg_promo_discount_value,0.0
internal_stress_regime,0.0
log1p_is_operational_crisis,0.0
is_operational_crisis,0.0
log1p_internal_stress_regime,0.0
event_intensity,0.0
